parameter_name,implemented_value,unit,model_function,source_or_rationale,calibration_status,sensitivity_range,limitation
Per-capita demand coefficient,3.5e-05,MW/person,Population-based demand,Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,0.8x-1.2x demand term in Phase 2 sensitivity,Not a metered load model
Facility factors,"{""Data Center"": 1.18, ""Hospital"": 1.22, ""Long-term Care"": 1.12, ""Residential Block"": 0.88, ""School / Campus"": 0.92}",ratio,Demand scaling by facility type,Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,Not established,No facility measurements
Solar coefficient,0.58,ratio,Solar resource conversion,Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,Not established,Not a technology-specific performance curve
Wind coefficient,0.42,ratio,Wind resource conversion,Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,Not established,No turbine power curve
Geothermal availability,0.85,ratio,Geothermal supply,Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,Not established,No plant-level availability data
Hydropower logic,"clamp(0.45 + precipitation/500 x 0.35, 0.15, 0.95)",ratio,Hydropower availability,Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,Not established,Precipitation is not a hydrological model
Battery charge share,0.3,ratio,Fraction of surplus power considered for charging,Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,Not established,No charger power curve
Battery dispatch-capacity share,0.35,ratio/interval,Discharge-energy limit,Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,Not established,No battery-management-system constraints
Battery transfer loss,0.04,ratio,Charge/discharge energy loss,Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,Not established,Single symmetric transfer-loss assumption
Simulation interval,1.0,h,MW-to-MWh conversion,author-defined implementation convention,"Explicit, not calibrated",Fixed at 1 h,Not a multi-period dispatch model
Scenario multipliers: normal,"{""battery"": 1.0, ""demand"": 1.0, ""geo"": 1.0, ""hydro"": 1.0, ""solar"": 1.0, ""wind"": 1.0}",ratio,"Demand, renewable, and battery stress",Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,Not established,Directional comparison only
Scenario multipliers: heat_wave,"{""battery"": 0.96, ""demand"": 1.22, ""geo"": 1.0, ""hydro"": 0.93, ""solar"": 1.08, ""wind"": 0.9}",ratio,"Demand, renewable, and battery stress",Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,Not established,Directional comparison only
Scenario multipliers: storm,"{""battery"": 0.9, ""demand"": 1.1, ""geo"": 1.0, ""hydro"": 1.05, ""solar"": 0.62, ""wind"": 1.2}",ratio,"Demand, renewable, and battery stress",Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,Not established,Directional comparison only
Scenario multipliers: cold_wave,"{""battery"": 0.93, ""demand"": 1.18, ""geo"": 1.0, ""hydro"": 0.97, ""solar"": 0.72, ""wind"": 0.96}",ratio,"Demand, renewable, and battery stress",Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,Not established,Directional comparison only
Scenario multipliers: blizzard,"{""battery"": 0.85, ""demand"": 1.28, ""geo"": 1.0, ""hydro"": 0.9, ""solar"": 0.4, ""wind"": 0.82}",ratio,"Demand, renewable, and battery stress",Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,Not established,Directional comparison only
Scenario multipliers: typhoon,"{""battery"": 0.82, ""demand"": 1.15, ""geo"": 1.0, ""hydro"": 0.78, ""solar"": 0.35, ""wind"": 0.68}",ratio,"Demand, renewable, and battery stress",Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,Not established,Directional comparison only
Risk thresholds,Low: no gap; Elevated: <5%; High: 5-<15%; Critical: >=15%,unmet-demand ratio,Risk tier,Author-defined exploratory assumption; not empirically calibrated.,Not calibrated,Not established,Not regulatory or emergency thresholds
